killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
UMP9,GeGeJBDA,20,376496.4,129218.9,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,290,CaptainWTF,18,380301.1,131095.9
S686,PandaRain0110,11,198386,280218.6,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,174,strayrooster,27,198336.3,279558.7
Down and Out,PandaRain0110,11,198883.2,279409.1,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,189,Mohulis,27,199133,279601.1
Down and Out,PandaRain0110,11,197562.6,280212.8,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,189,LaserBuffalo,27,197770.2,280455.3
Grenade,LaserBuffalo,27,0,0,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,189,Grampa_Alex,27,197304.6,280322.5
S1897,Exia77,7,391486.8,287870.1,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,300,lil2fast2crash,22,391104.8,287189.4
Down and Out,chuyingqifei,10,165319.9,277607.8,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,298,ArrogantBastards,23,165223.3,277510.1
death.ProjMolotov_DamageField_C,realsuperfriend,18,379228.8,122617,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,364,realsuperfriend,18,379228.8,122617
Tommy Gun,chuyingqifei,10,165211.7,277566.2,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,298,Mi_Skye,23,164985.4,277787.9
S1897,Exia77,7,390841.8,288298.4,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,280,Levy2k6,22,391785.9,288139.6
UMP9,Dr_dawa,3,560796.1,136277,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,339,Rudd-man-4000,21,558321.8,136077
SCAR-L,SuccubusSenpai,7,399523.9,285792.5,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,96,Towelie_McTowel,22,400234.2,285904.5
M16A4,stoushriver,7,392334.2,287817.7,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,344,Proballer06,19,388402,291650.4
M16A4,SuccubusSenpai,7,392191.9,279038.2,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,155,G_Falc,19,394284.6,276559.2
Down and Out,TRUMP_IS_SNOKE,1,520371.3,580142.1,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,1733,Alpha_P,2,502885.9,578049.8
Down and Out,Dr_dawa,3,562817.5,136488.1,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,339,ShortChange,21,560514,134955
Down and Out,TRUMP_IS_SNOKE,1,525430.2,583710.6,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,1624,krazy_xd,5,536586.1,585046.8
Bluezone,,,,,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,675,Sephiroth765,14,225216.4,281705.2
